"marque","produit","pays_marche","format","classement","macro_categorie","base_reelle","actifs_principaux","dose_portion","cafeine_portion","prix_observe_2026_08_01","disponibilite_france","affiliation_ou_contact","source_officielle","statut_verification","notes","date_derniere_verification","statut_commercial_actuel","etat_source_officielle","experience_boisson","origine_cafe","nombre_portions","poids_conditionnement","cafeine_mg_min","cafeine_mg_max","niveau_cafeine","champignons_standardises","nombre_champignons","partie_champignon","methode_extraction_infusion","proteines_g","collagene_g","creatine_g","mct_g","sucres_edulcorants","allergenes_regime","preparation","prix_par_portion_observe","transparence_dosage","preuve_laboratoire","promesse_principale","priorite_seo","risque_editorial","source_secondaire","changements_2026_08_01"
"Proffee","Café instantané protéiné","France","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","Arabica et Robusta instantanés","concentré de whey; arôme noisette","16 g; 10 g protéines","90,5 mg","36,90 € / 30; 64,90 € / 60; 95,90 € / 90","oui","programme public non identifié","https://www.proffee.fr/products/cafe-instantane-proteine-gene","A","Composition simple; plusieurs allégations marketing doivent être reformulées avec prudence.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","90.5","90.5","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","10 g","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Lion Spirit / Cafés Bibal","Focus – Crinière de Lion","France","café torréfié, format à préciser","Café aux champignons","2 — Cafés artificiellement enrichis","100 % Arabica Guatemala","extrait de Lion's Mane double extraction + ultrasons","non publié","non publié","4,90 € observé; poids non visible","oui","contacter Cafés Bibal","https://www.lionspirit.fr/","B","Produit de torréfacteur français lancé en 2025; format et dosage à confirmer.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café à préparer (goût café)","Guatemala","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane","1","non publiée","double extraction annoncée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Naturecan","Protein Coffee","Royaume-Uni / Europe","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","café instantané et whey","whey concentrée; café; arômes selon variante","30 g; 21 g protéines","80 mg","prix non extrait","oui, boutique France","programme d'affiliation Naturecan à rechercher","https://www.naturecan.fr/products/cafe-proteine","A","Trois saveurs; composition varie légèrement.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","80","80","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","21 g","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Corial","Collagen Coffee Original","Europe","poudre instantanée","Café collagène","2 — Cafés artificiellement enrichis","café instantané et collagène","collagène hydrolysé; vitamine C","10 g; 8,5 g collagène; environ 15 portions","68 mg","14,99 $ / environ 15 portions","oui, France disponible dans le sélecteur pays","https://corialfoods.com/en-eu/pages/parcerias-1","https://corialfoods.com/en-us/products/collagen-coffee-original","A","Le total d'ingrédients arrondi doit être contrôlé sur l'étiquette.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","15","non publié","68","68","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","non publié","8,5 g","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1,00 $ / portion","élevée","non publiée","beauté / collagène","P1 — fiche prioritaire France","faible à moyen","non publiée","Prix officiel et présence de la France dans le sélecteur revérifiés."
"Clearly","Mushroom Coffee","Pays-Bas","poudre instantanée lyophilisée","Café aux champignons et plantes","2 — Cafés artificiellement enrichis","Arabica colombien single origin","Lion's Mane; Cordyceps; Chaga; Reishi; Maitake; L-théanine; Maca; Rhodiola","171 g; 30 portions","environ 45 mg; version décaféinée aussi","30 € ponctuel; 25,50 € abonnement","oui, expédition 2–4 jours annoncée","programme public non identifié","https://clearly.nl/en/products/mushroom-coffee","A","Formule café et décaféinée; dosages individuels non visibles.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","Colombie","30","non publié","45","45","faible (≤ 50 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Maitake","5","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Cokare","Focus Ground Coffee","Espagne / Pays-Bas","café moulu","Café aux champignons","2 — Cafés artificiellement enrichis","Arabica bio d'Amérique centrale","Lion's Mane; Reishi; Agaricus","250 g; 500 mg mélange pour 3 c. à soupe","non publié","prix non visible; produit en rupture","à confirmer","contacter orders@cokare.co","https://cokare.co/focus-ground-coffee","A","Vrai café moulu; disponibilité actuelle incertaine.","2026-08-01","rupture ou disponibilité incertaine","source officielle accessible et revérifiée","café à préparer (goût café)","Amérique centrale","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi; Agaricus","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Earthshake","Functional Coffee","Pays-Bas","poudre instantanée","Café aux champignons et plantes","2 — Cafés artificiellement enrichis","74 % Arabica instantané","17 % extraits Lion's Mane et Chaga; cacao; acérola; guayusa; sel","180 g; 30 grandes ou 60 petites; grande: 500 mg + 500 mg champignons","59 mg grande; 29,5 mg petite","32 €","oui, expédition UE annoncée","contacter info@earthshake.co","https://www.earthshake.co/products/readybrew","A","La page affirme aussi 'sans caféine' à certains endroits malgré les valeurs 29,5/59 mg: incohérence éditoriale.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","29.5","59","modérée (51–100 mg)","Lion's Mane; Chaga","2","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"smaints","Mushroom Coffee","Allemagne","poudre instantanée décaféinée","Café décaféiné multi-actifs","2 — Cafés artificiellement enrichis","50 % extrait Arabica Fairtrade décaféiné Swiss Water","Cordyceps 250 mg; Lion's Mane 250 mg; Camellia 300 mg; choline; tyrosine; citicoline; taurine; vitamines","150 g; au moins 30 portions","0 mg annoncé","49,99 €; offres dégressives","à confirmer","programme public non identifié","https://smaints.de/en/products/mushroom-coffee","A","Formule très chargée mais dosages partiels publiés.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","0","0","sans caféine","Lion's Mane; Cordyceps","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","énergie / usage quotidien","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Vitaritual","Mushroom Coffee","Allemagne","poudre instantanée","Café aux champignons, plantes et vitamines","2 — Cafés artificiellement enrichis","poudre de café","Chaga 500 mg; Cordyceps 500 mg; Lion's Mane 500 mg; Reishi 250 mg; Maca 400 mg; Ashwagandha 100 mg; glycine; B5; biotine","8 g; 3 500 mg d'extraits de champignons annoncés","non publié","39,99 €; lots dégressifs","à confirmer","programme public non identifié","https://vitaritual.de/products/pilzkaffee","B","Les doses visibles ne totalisent pas 3 500 mg; caféine et nombre de portions non publiés.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga; Reishi; Cordyceps","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Mushee","Super Adaptogener Kaffee","Allemagne","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","Arabica et Robusta instantanés","Lion's Mane; Reishi; Chaga; Cordyceps; lait de coco","150 g; 30 portions; 2 250 mg de champignons","50 mg","prix non extrait","à confirmer","programme public non identifié","https://drinkmushee.de/products/adaptogener-pilzkaffee","A","Composition principale transparente.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","50","50","faible (≤ 50 mg)","Lion's Mane; Chaga; Reishi; Cordyceps","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Sam's Superfoods","6 in 1 Paddenstoelen Koffie","Pays-Bas","poudre instantanée","Café aux champignons avec MCT","2 — Cafés artificiellement enrichis","16 % café en poudre environ","Cordyceps; Lion's Mane; Reishi; Turkey Tail; Chaga; Maitake; coco; MCT","6 g; 1 980 mg mélange champignons; 960 mg café","non publié","19,95 € / 180 g","à confirmer","programme public non identifié","https://samsuperfoods.nl/products/6-in-1-paddenstoelen-koffie","A","Le sac représente 30 portions de 6 g.","2026-08-01","actif — page officielle observée","accès automatisé limité; contrôle manuel recommandé","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail; Maitake","6","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"AdapCoffee / Happy Detox Tea","Clarity Cup","Allemagne","poudre instantanée","Hybride café-chicorée aux champignons","3 — Pas vraiment du café, mais quand même","Arabica; cacao cru; chicorée; fibre d'acacia","Lion's Mane 30:1; Reishi 14:1; Maitake 10:1","4 g; 200 g pour 50 tasses","non publié","24,99 € / 50; 44,99 € / 100; 64,99 € / 150","oui, livraison mondiale annoncée","programme public non identifié","https://happydetoxtea.de/products/clarity-cup-mushroom-coffee-blend","A","Quantités individuelles non publiées.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","alternative au café / latte","non publiée","50","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi; Maitake","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Mindabolics","Mushroom Mojo","Allemagne","poudre instantanée","Alternative cacao/green coffee multi-adaptogènes","3 — Pas vraiment du café, mais quand même","cacao ou café vert selon version de page","Lion's Mane; Cordyceps; Chaga; Turkey Tail; Maca; Ashwagandha; Rhodiola","8 g; jusqu'à 1 000 mg de quatre champignons selon une page","25 mg ou 120 mg selon pages/versions","49,90 € / 60 portions; autres offres","à confirmer","programme public non identifié","https://mindabolics.de/en/products/mushroom-mojo-en","B","Importante incohérence entre pages officielles: formule, poids, température de préparation et caféine.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","alternative au café / latte","non publiée","60","non publié","25","120","élevée (> 100 mg)","Lion's Mane; Chaga; Cordyceps; Turkey Tail","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","0.83 € / portion","partielle","non publiée","alternative au café","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
